episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 0.02165041 0.00046051012666399843 26 0.00013927591471274206 50 0
1 0.31617171 0.021019133785895903 49 0.021019133785895903 50 0
2 0.49578798 0.050788732754032624 49 0.050788732754032624 50 0
3 0.21347159 0.012780356504928552 46 0.012174797622031464 50 0
4 0.11220922 0.004738982524958603 46 0.003167610025897496 50 0
5 0.12305774 0.007947450593409813 49 0.007947450593409813 50 0
6 0.20981128 0.007959199765405477 47 0.0038796019130159063 50 0
7 0.00138998 0.00010951420462424518 49 0.00010951420462424518 50 0
8 0.00929123 0.0003789320879333511 36 0.0002065444618067173 50 0
9 0.02031648 0.0010618328159766601 43 0.0003914735444642615 50 0
10 0.03547390 0.0023393732585172463 47 0.0021316286913064674 50 0.0009000000000000002
11 0.02553325 0.0008909068631785407 36 0.000583505963645777 50 0.0019000000000000006
12 0.04296508 0.002077676741710555 47 0.0006140125341359891 50 0.002899999999999999
13 0.02020379 0.0012277762660848036 49 0.0012277762660848036 50 0.0038999999999999972
14 0.07856737 0.004615598009630217 49 0.004615598009630217 50 0.0049
15 0.05449592 0.005932474153882347 49 0.005932474153882347 50 0.0059000000000000025
16 0.01441555 0.0010040917071044981 39 1.4536955348513516e-05 50 0.006900000000000005
17 0.01638665 0.0005886559920941036 45 7.957264512463639e-05 50 0.007900000000000008
18 0.15417452 0.02364361443052797 49 0.02364361443052797 50 0.008900000000000002
19 0.01759891 0.0020101341705865165 49 0.0020101341705865165 50 0.009899999999999996
20 0.05600895 0.00893235237981565 49 0.00893235237981565 50 0.01089999999999999
21 0.07569487 0.009503803082873241 49 0.009503803082873241 50 0.011899999999999984
22 0.02964370 0.0025186109325371453 46 0.0017366556560679967 50 0.012899999999999977
23 0.04274706 0.00547813836885121 49 0.00547813836885121 50 0.013899999999999971
24 0.07326700 0.0033393849207902066 49 0.0033393849207902066 50 0.014899999999999965
25 0.06362089 0.003724745144729324 49 0.003724745144729324 50 0.01589999999999996
26 0.06090324 0.0019817647622811406 47 0.000973001563485624 50 0.016899999999999953
27 0.04924248 0.011459519938414677 49 0.011459519938414677 50 0.017899999999999947
28 0.11762197 0.003970166137903335 46 0.00321458020954301 50 0.01889999999999994
29 1.35592865 0.06197647987123952 42 0.005793338341044441 50 0.019899999999999935
30 0.17202179 0.009586227007359949 47 0.007880473882673775 50 0.02089999999999993
31 0.01406324 0.0005025891674089282 44 0.0003480718825106006 50 0.021899999999999923
32 0.02218884 0.002834970617335264 49 0.002834970617335264 50 0.022899999999999917
33 0.21665248 0.006751658499487498 46 0.003541369245735634 50 0.02389999999999991
34 0.00479074 0.0005554364986300005 49 0.0005554364986300005 50 0.024899999999999905
35 0.02189131 0.001113774940259153 43 0.0008484102875837341 50 0.0258999999999999
36 0.04877595 0.003927082320686001 49 0.003927082320686001 50 0.026899999999999893
37 0.02718081 0.0015141843923105241 46 0.000460732923277424 50 0.027899999999999887
38 0.03901508 0.002930673394865579 47 0.0027096631833710195 50 0.02889999999999988
39 0.03944269 0.002803806588512515 49 0.002803806588512515 50 0.029899999999999875
40 0.00591495 0.0003958563135754129 49 0.0003958563135754129 50 0.03089999999999987
41 0.08588907 0.005356654040120507 45 0.0037886796385916163 50 0.03189999999999989
42 1.05754964 0.11799213406502737 49 0.11799213406502737 50 0.032899999999999915
43 0.02731299 0.0016390297153016976 49 0.0016390297153016976 50 0.033899999999999944
44 0.06810711 0.0027227808951235596 49 0.0027227808951235596 50 0.03489999999999997
45 0.24275773 0.011538081579472842 49 0.011538081579472842 50 0.0359
46 0.18090427 0.007498538584015518 49 0.007498538584015518 50 0.03690000000000003
47 0.02712627 0.0016040564053759652 49 0.0016040564053759652 50 0.03790000000000006
48 0.00972073 0.00038900212015841403 41 0.00015850619519216694 50 0.03890000000000009
49 0.00856720 0.0004191843035432432 48 0.0004069934952029926 50 0.039900000000000116
50 0.15438693 0.007767712546893579 45 0.003873320612072595 50 0.040900000000000145
51 0.12722312 0.006482624973404083 49 0.006482624973404083 50 0.04190000000000017
52 0.02177410 0.0007803589117683094 47 0.00040502813223167227 50 0.0429000000000002
