episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 342.33469641 0.00377931 97 0.00339778 100 0
1 423.71713446 0.00419810 87 0.00413542 100 0
2 580.19018375 0.02056611 93 0.01676989 100 0
3 821.16809246 0.09713071 93 0.01619286 100 0
4 454.01005581 0.01168072 95 0.00439496 100 0
5 362.40019716 0.04110047 99 0.04110047 100 0.0019000000000000006
6 297.71170023 0.00712414 99 0.00712414 100 0.0038999999999999972
7 695.52172303 0.05061980 99 0.05061980 100 0.0059000000000000025
8 231.97657907 0.00110597 80 0.00032082 100 0.007900000000000008
9 203.19459614 0.00217182 76 0.00088666 100 0.009899999999999996
10 399.80913314 0.01022975 97 0.00657174 100 0.011899999999999984
11 590.01003439 0.05409900 97 0.04942747 100 0.013899999999999971
12 445.68758954 0.04739578 89 0.03631610 100 0.01589999999999996
13 359.11935194 0.00339521 87 0.00133851 100 0.017899999999999947
14 332.81778498 0.00013253 87 0.00005806 100 0.019899999999999935
15 281.33262040 0.00742125 91 0.00350579 100 0.021899999999999923
16 291.15901825 0.01161906 96 0.01149715 100 0.02389999999999991
17 434.28181885 0.00666484 84 0.00265328 100 0.0258999999999999
18 315.15713253 0.00072951 88 0.00016047 100 0.027899999999999887
19 660.97047696 0.02088709 95 0.01896878 100 0.029899999999999875
20 377.53496649 0.00242001 80 0.00025844 100 0.03189999999999989
21 600.69088071 0.03925481 88 0.00608234 100 0.033899999999999944
22 255.97821612 0.00690528 99 0.00690528 100 0.0359
23 529.93967638 0.01918604 95 0.01368121 100 0.03790000000000006
24 583.37557226 0.12334013 97 0.08885979 100 0.039900000000000116
25 452.45300456 0.00874161 99 0.00874161 100 0.04190000000000017
26 648.71372043 0.09461710 95 0.04485926 100 0.04390000000000023
27 502.04558743 0.00830249 87 0.00583423 100 0.04590000000000029
28 342.40930094 0.00174493 85 0.00012770 100 0.047900000000000345
29 442.13560599 0.00799422 67 0.00368190 100 0.0499000000000004
30 357.26021922 0.00357751 97 0.00229040 100 0.05190000000000046
31 747.57975208 0.02777447 99 0.02777447 100 0.05390000000000052
