directory,noise_probability,mean_fidelity,std_fidelity
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.0,0.9057058189866118,1.1102230246251565e-16
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.1111111111111111,0.8992142168932357,0.022838105489239705
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.2222222222222222,0.8780378835465242,0.026993990456819907
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.3333333333333333,0.8364432025087225,0.05241641978158392
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.4444444444444444,0.7998406762422445,0.07130683523119502
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.5555555555555556,0.7592093291867098,0.11217512591318267
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.6666666666666666,0.7326138736514995,0.09193262646485845
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.7777777777777777,0.6856681375445186,0.13351257186347146
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.8888888888888888,0.6581033601182285,0.13864056802922847
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,1.0,0.6053564429879118,0.17001425344862345
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.0,0.9304616186286171,0.0
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.1111111111111111,0.8854382273520943,0.032237087382660304
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.2222222222222222,0.8381250807344052,0.05116945589678609
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.3333333333333333,0.7984562351519224,0.05531645135555383
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.4444444444444444,0.7595364330592602,0.07271139085278383
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.5555555555555556,0.710905425372546,0.09625584177217125
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.6666666666666666,0.6657631529130001,0.11169197875224314
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.7777777777777777,0.6223127610038423,0.1291332888691789
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.8888888888888888,0.5677782045608243,0.13137753403146363
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,1.0,0.5628816486944923,0.14657955112863175
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.0,7.384607280891996e-13,1.0097419586828951e-28
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.1111111111111111,2.6308029607353385e-06,2.1738501459852886e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.2222222222222222,6.666506742259934e-06,6.2232654527368355e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.3333333333333333,7.4270106611171716e-06,5.86725125452207e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.4444444444444444,1.0362764388710003e-05,8.702610684719726e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.5555555555555556,1.1789230373222877e-05,8.387024317839053e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.6666666666666666,1.3512111091852511e-05,1.253653633740946e-05
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.7777777777777777,1.678174013255617e-05,1.4494349438937032e-05
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.8888888888888888,1.4827646133703095e-05,1.0769692540226561e-05
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,1.0,1.8881217191641595e-05,1.439868692845245e-05
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.0,0.0001115933121533489,2.710505431213761e-20
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.1111111111111111,0.5179393176981063,0.2937351207905476
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.2222222222222222,0.4629517555260751,0.2965934369697773
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.3333333333333333,0.4948517837946343,0.2397301366433869
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.4444444444444444,0.4206313729494673,0.25057913227468714
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.5555555555555556,0.4292599538154302,0.2157035309111742
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.6666666666666666,0.41742358679946373,0.19088785248047388
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.7777777777777777,0.33108417069812424,0.21927037172369354
../adapted_zhang_implementation/site_evolution/n16_original_parameters,0.8888888888888888,0.355254716885591,0.17583606518257427
../adapted_zhang_implementation/site_evolution/n16_original_parameters,1.0,0.3274940622338576,0.16824321082936056
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.0,0.9565915577737383,4.440892098500626e-16
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.1111111111111111,0.8973181613872707,0.030081388344464024
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.2222222222222222,0.8566332018047048,0.039860307826093504
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.3333333333333333,0.8317958298309327,0.05140819189977843
