directory,noise_amplitude,mean_fidelity,std_fidelity
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.0,0.9057058189866118,1.1102230246251565e-16
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.05555555555555555,0.9180726946120481,0.01647258765677754
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.1111111111111111,0.9133651678960752,0.016567893950638173
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.16666666666666666,0.9042641179779756,0.020520075839778655
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.2222222222222222,0.8761149717944341,0.031166646018766866
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.2777777777777778,0.8485363012205633,0.03983661203253352
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.3333333333333333,0.797591781483791,0.07471684424820625
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.38888888888888884,0.7486870709001687,0.10809489727834866
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.4444444444444444,0.6968920186610076,0.1274337600711234
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps,0.5,0.6097193354924452,0.15064193602510595
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.0,0.9304616186286171,0.0
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.05555555555555555,0.9273932375144401,0.010165536673706356
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.1111111111111111,0.9125130001456248,0.017303073979566562
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.16666666666666666,0.890832125086269,0.02269858367531949
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.2222222222222222,0.8503379010530944,0.040585738308856784
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.2777777777777778,0.8011203763918057,0.05760601883734992
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.3333333333333333,0.7639476759729278,0.0698164175114798
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.38888888888888884,0.6909364332554947,0.0971067689717897
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.4444444444444444,0.6244936007886204,0.12836562224680176
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang,0.5,0.5517299326049704,0.14264780949420003
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.0,7.384607280891996e-13,1.0097419586828951e-28
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.05555555555555555,3.51895029824473e-07,2.9310247043600773e-07
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.1111111111111111,1.7257609691911222e-06,1.5584791313533313e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.16666666666666666,3.266840217501295e-06,3.047284840865208e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.2222222222222222,5.672550491599153e-06,6.142426293214605e-06
../adapted_zhang_implementation/original_drl_results/n16_original_parameters,0.2777777777777778,8.367552420723321e-06,6.748386310584743e-06
