directory,noise_amplitude,mean_fidelity,std_fidelity
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.0,0.9163646053282849,1.1102230246251565e-16
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.05,0.9227228526654049,0.012439121930966409
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.1,0.9062080620127065,0.01784911853369933
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.15000000000000002,0.8853287226372163,0.02142436813390686
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.2,0.8575566717264402,0.031738998032876026
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.25,0.8194183310236821,0.04804621925774047
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.30000000000000004,0.774709292138998,0.06507086561006598
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.35000000000000003,0.7286118086561731,0.0766911465748338
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.4,0.6837448062923801,0.08756734180272284
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.45,0.6303496456697897,0.1139525007991779
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.5,0.5604786924552725,0.12037545146096106
(action-by-site),0.0,0.9909254776407825,0.0007479202089254006
(action-by-site),0.05,0.982514334047471,0.004358957944865212
(action-by-site),0.1,0.9594648684327226,0.013913103377717582
(action-by-site),0.15000000000000002,0.9235449737733002,0.024841047438832684
(action-by-site),0.2,0.8693247186907626,0.040627228270289605
(action-by-site),0.25,0.8249354199027966,0.05769476307023541
(action-by-site),0.30000000000000004,0.7439647549208293,0.08481039568935105
(action-by-site),0.35000000000000003,0.6527490575331033,0.10718348312557205
(action-by-site),0.4,0.5809104138172497,0.12907058649632572
(action-by-site),0.45,0.4955938205674372,0.13775688409794282
(action-by-site),0.5,0.4561427110073305,0.15733327678453615
(Zhang actions),0.0,0.9380861636524997,0.002728662379500513
(Zhang actions),0.05,0.9311468541115048,0.004751551608245912
(Zhang actions),0.1,0.9082964482881105,0.013056306236824099
(Zhang actions),0.15000000000000002,0.8678381007740069,0.031533955020469906
(Zhang actions),0.2,0.8055348405508835,0.056526668653915924
(Zhang actions),0.25,0.7514669917510772,0.0768962294268335
(Zhang actions),0.30000000000000004,0.7096083794830286,0.07670414267230147
(Zhang actions),0.35000000000000003,0.6361356310508254,0.11517930785985739
(Zhang actions),0.4,0.5326504425957133,0.12026899002079716
(Zhang actions),0.45,0.4980187294670101,0.10915553193681823
(Zhang actions),0.5,0.4194926901085681,0.15213256863622426
