episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 183.60462088 0.00648110 74 0.00339238 80 0
1 361.51197050 0.12294211 79 0.12294211 80 0
2 184.91481703 0.01326531 79 0.01326531 80 0
3 445.57559363 0.01160560 79 0.01160560 80 0
4 119.54688611 0.00045403 71 0.00011018 80 0
5 245.86837247 0.00237336 79 0.00237336 80 0
6 254.41919040 0.03719502 72 0.03609919 80 0.0011000000000000003
7 304.95819505 0.00600284 79 0.00600284 80 0.0026999999999999993
8 176.99466747 0.00185140 75 0.00077380 80 0.004299999999999998
9 225.55901961 0.00969099 65 0.00050674 80 0.0059000000000000025
10 393.63368152 0.06337322 77 0.04600043 80 0.007500000000000007
11 400.05592722 0.02959502 79 0.02959502 80 0.0091
12 191.83241270 0.00028604 79 0.00028604 80 0.01069999999999999
13 250.13297156 0.00109161 79 0.00109161 80 0.012299999999999981
14 281.75429897 0.01957067 65 0.00798086 80 0.013899999999999971
15 255.92489758 0.00105224 69 0.00013329 80 0.015499999999999962
16 187.75667513 0.00947027 74 0.00542531 80 0.017099999999999952
17 194.45183807 0.01120658 60 0.00004573 80 0.018699999999999942
18 361.61218281 0.01390986 73 0.00007935 80 0.020299999999999933
19 267.45915330 0.00423098 79 0.00423098 80 0.021899999999999923
20 180.89088902 0.00095361 79 0.00095361 80 0.023499999999999913
21 226.54985006 0.00795186 79 0.00795186 80 0.025099999999999904
22 156.69649103 0.00198773 61 0.00056974 80 0.026699999999999894
23 243.36064399 0.02190078 79 0.02190078 80 0.028299999999999884
24 273.81580332 0.04328913 79 0.04328913 80 0.029899999999999875
25 158.53903444 0.00015943 58 0.00012849 80 0.031499999999999875
26 313.64777021 0.00420965 79 0.00420965 80 0.03309999999999992
27 314.35268548 0.02754182 72 0.00254857 80 0.03469999999999997
28 282.86146916 0.01592910 68 0.01018774 80 0.03630000000000001
29 211.94584408 0.02113047 72 0.00052627 80 0.03790000000000006
30 145.57500153 0.00638022 79 0.00638022 80 0.039500000000000104
31 206.71396352 0.00084876 75 0.00047593 80 0.04110000000000015
32 280.89322930 0.02647677 78 0.02629101 80 0.042700000000000196
33 297.41624282 0.00330861 79 0.00330861 80 0.04430000000000024
34 211.32106243 0.01202286 65 0.00489204 80 0.04590000000000029
35 235.94114088 0.01235064 78 0.01156294 80 0.047500000000000334
