n,sample_index,max_fidelity,ttime,cpu_time,generations
16,0,0.9927843310541313,68.00000000,27.54088688,26
16,1,0.9900499735983006,65.00000000,24.57645702,25
16,2,0.9912013135610808,78.00000000,16.75155973,18
16,3,0.9928885594894401,65.00000000,16.72282267,18
16,4,0.9903283446427232,73.00000000,26.33346033,28
16,5,0.9901864401210034,76.00000000,19.66155815,21
16,6,0.9900513601682648,68.00000000,20.51038718,22
16,7,0.990398669826078,78.00000000,21.68055964,23
16,8,0.9916682424664507,78.00000000,21.75372386,23
16,9,0.9902598734113691,65.00000000,21.64702797,23
16,10,0.9904491346428523,73.00000000,20.70546484,22
16,11,0.9901606358568883,67.00000000,25.40201569,27
16,12,0.9901447628577618,65.00000000,20.59666085,22
16,13,0.9909209525230435,69.00000000,17.92952704,19
16,14,0.990726065300719,67.00000000,20.77098250,22
16,15,0.9918496394554006,70.00000000,20.83776832,22
16,16,0.9914845723583492,75.00000000,20.66194415,22
16,17,0.9908821204806703,73.00000000,20.77237725,22
16,18,0.9936029079780738,71.00000000,19.81989503,21
16,19,0.9921073792412497,71.00000000,22.59012222,24
16,20,0.9916050333024388,76.00000000,21.76966310,23
16,21,0.9906848875912402,65.00000000,25.61760283,27
16,22,0.9913472060097587,68.00000000,18.83927369,20
16,23,0.9914981735308566,72.00000000,25.62027764,27
16,24,0.9900798344410617,68.00000000,21.79336286,23
16,25,0.9908888674615681,65.00000000,19.77524567,21
16,26,0.990838711211122,73.00000000,23.40768909,25
16,27,0.9913960765678294,74.00000000,22.31367683,24
16,28,0.9916811882913243,65.00000000,17.63932538,19
16,29,0.9918155678601501,80.00000000,21.37679553,23
16,30,0.9901950034360597,65.00000000,20.55528665,22
16,31,0.9903184581167048,67.00000000,20.61210370,22
16,32,0.9919165379302459,72.00000000,24.33006763,26
16,33,0.9922341320633579,65.00000000,20.45955324,22
16,34,0.9900679482319559,72.00000000,20.75207114,22
16,35,0.9904931840284775,70.00000000,19.55172753,21
16,36,0.9907522160965354,74.00000000,20.55227685,22
16,37,0.9922148288379748,77.00000000,18.59508681,20
16,38,0.9909463876715313,65.00000000,20.39458561,22
16,39,0.9901184079028624,68.00000000,20.56049204,22
16,40,0.9907890883940421,66.00000000,21.56968880,23
16,41,0.9905637686991532,65.00000000,18.73226690,20
16,42,0.9923725790859131,65.00000000,20.44490671,22
16,43,0.9909090232929285,73.00000000,21.30306792,23
16,44,0.9921852289057713,68.00000000,20.54083228,22
16,45,0.9904484488140564,71.00000000,20.52274489,22
16,46,0.9915362769330397,69.00000000,23.55993271,25
16,47,0.990027452704256,66.00000000,19.57361603,21
16,48,0.9905304534478531,65.00000000,17.95802212,19
16,49,0.9907412973892256,73.00000000,19.61781788,21
16,50,0.991514227645978,68.00000000,21.65762949,23
16,51,0.9916567832890797,70.00000000,24.10061383,26
16,52,0.9907526608260473,66.00000000,20.49515748,22
16,53,0.9905652631590749,73.00000000,22.41310334,24
16,54,0.9904785305418854,67.00000000,22.39186287,24
16,55,0.9901427404098514,71.00000000,21.51737213,23
16,56,0.9901993497484094,70.00000000,25.22461915,27
16,57,0.9907392908024937,69.00000000,18.68712425,20
16,58,0.990374094113299,72.00000000,24.33878851,26
16,59,0.9901471688366691,72.00000000,21.48747516,23
16,60,0.9921027104222041,65.00000000,20.46837878,22
16,61,0.990800550256979,75.00000000,22.47631407,24
16,62,0.9906108282710959,69.00000000,20.77937818,22
16,63,0.9900059985389692,72.00000000,21.45914245,23
16,64,0.9902762311074839,65.00000000,15.80620837,17
16,65,0.9900946013504077,67.00000000,17.60469508,19
16,66,0.9901180425941596,68.00000000,19.72498417,21
16,67,0.9904196606269386,70.00000000,20.53920674,22
16,68,0.9901978806334082,65.00000000,19.77977037,21
16,69,0.9903499019357699,74.00000000,18.71984625,20
16,70,0.9902505354537665,70.00000000,20.55643678,22
16,71,0.9902188932518805,75.00000000,24.35256243,26
16,72,0.9906082111455654,80.00000000,21.57588243,23
16,73,0.9902516835024662,69.00000000,22.38004756,24
16,74,0.9901552043113029,70.00000000,20.63788462,22
16,75,0.9908175260236938,77.00000000,22.54066324,24
16,76,0.9906550246105821,70.00000000,22.61211562,24
16,77,0.9900194250704614,71.00000000,19.59178209,21
