episode Qvalue max_fidelity time_max_fidelity final_fidelity time_final_fidelity epsilon
0 1723.01186520 0.06261896 159 0.06261896 160 0
1 1716.94703713 0.14872846 145 0.01558002 160 0
2 973.70441808 0.02089086 159 0.02089086 160 0
3 2021.14790400 0.02110600 140 0.01629432 160 0.0026999999999999993
4 1082.83883733 0.00889407 157 0.00773151 160 0.0059000000000000025
5 989.36541437 0.01744911 154 0.00599597 160 0.0091
6 1719.44683920 0.08986464 159 0.08986464 160 0.012299999999999981
7 385.15443256 0.00071827 157 0.00046123 160 0.015499999999999962
8 1245.86576596 0.02070330 159 0.02070330 160 0.018699999999999942
9 1127.71601376 0.04084954 154 0.02077658 160 0.021899999999999923
10 1253.62169427 0.01207591 123 0.00410593 160 0.025099999999999904
11 1869.00799548 0.21937647 154 0.11393080 160 0.028299999999999884
12 1145.14623680 0.02786287 159 0.02786287 160 0.031499999999999875
13 937.15199047 0.00813944 157 0.00666223 160 0.03469999999999997
14 1136.92833382 0.03276281 152 0.02606542 160 0.03790000000000006
15 1641.44505278 0.05167919 156 0.03841750 160 0.04110000000000015
16 2297.30455559 0.07112215 159 0.07112215 160 0.04430000000000024
17 670.26750836 0.00761004 134 0.00005527 160 0.047500000000000334
18 1732.41113693 0.01812039 159 0.01812039 160 0.050700000000000425
19 1340.89409037 0.01794288 124 0.01035561 160 0.05390000000000052
20 1381.09479671 0.01536533 147 0.00263658 160 0.05710000000000061
21 1076.86805150 0.02159061 128 0.00074685 160 0.0603000000000007
22 1045.27366374 0.00405558 140 0.00181671 160 0.06350000000000079
23 1708.36132712 0.09681441 151 0.04467930 160 0.06670000000000088
24 581.29374137 0.00458637 130 0.00282606 160 0.06990000000000098
25 947.18631479 0.01395889 125 0.00076472 160 0.07310000000000107
26 748.29549766 0.00786607 132 0.00227321 160 0.07630000000000116
27 864.25378619 0.01450429 159 0.01450429 160 0.07950000000000125
28 1222.79917920 0.02524231 152 0.01914434 160 0.08270000000000134
29 1422.02589880 0.03539106 159 0.03539106 160 0.08590000000000143
30 1083.77450589 0.01335871 150 0.00228375 160 0.08910000000000153
